id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1045611315361653973,Luxury Apartment Private Terrace | Lincoln Park,464407683,Hubbard Holdings,,Lincoln Park,41.91447,-87.65216,Entire home/apt,518,2,19,2025-04-27,1.05,31,51,9,R23000109167
1045744571192116871,"Homie Apt Near Beach, Train, with Private Parking",111062630,Kyriako,,Rogers Park,42.0094229,-87.66404899999999,Entire home/apt,85,2,19,2025-06-16,1.06,23,127,15,R22000080983
1045805458762625890,The Penthouse at Fulton Market,501371725,Level Chicago,,Near West Side,41.88712931186513,-87.64577835850923,Entire home/apt,,30,0,,,28,0,0,2957081
1045888736917380919,1bd/1ba apt on Argyle St (303),109077540,Walter,,Uptown,41.973497184571016,-87.65647619962692,Entire home/apt,86,1,31,2025-06-01,1.74,3,202,22,R24000115039
1046002454403063097,City views from the indoor pool & rooftop sundeck,545770671,The Royal Sonesta Chicago River,,Near North Side,41.891062,-87.627671,Private room,,1,0,,,1,62,0,2873484
1046189134370118290,"Blueground | River North, sky terrace & yoga",107434423,Blueground,,Near North Side,41.8962192,-87.6391831,Entire home/apt,281,32,0,,,594,305,0,
1046755599184326242,Modern Condo 10 min from The Bean,167805471,Wonderful,,Oakland,41.82088,-87.60499,Entire home/apt,114,3,7,2024-11-04,0.42,3,225,5,R22000091694
1047007556948422253,Private room Near Train l Free Parking.,155230531,Julius,,Albany Park,41.96405,-87.73229,Private room,62,2,1,2024-01-01,0.06,3,133,0,R22000088609
1047547453758794851,WP1S - Quiet Pvt Room near University of Chicago,45957293,Deidra,,Washington Park,41.78679,-87.61509,Private room,46,2,20,2025-03-17,1.38,6,227,18,R24000113109
1047832232015882581,Sunny Spacious Wicker Penthouse | City Views,36899321,Sam,,West Town,41.90463,-87.67001,Entire home/apt,289,32,1,2025-06-15,1,1,276,1,
1047892221430649283,Radiant Retreat,421618805,Otha,,Chicago Lawn,41.77947764984309,-87.70063272306703,Entire home/apt,88,1,10,2025-06-08,0.66,1,254,8,R24000114784
1047903153161626229,Classic Bungalow & Billiards,551265553,Carmine,,Irving Park,41.9553205,-87.7390571,Entire home/apt,139,32,0,,,1,228,0,
1048045948317543945,The Chic Urban Oasis Near the Lake!,678580518,Troy,,South Shore,41.76187704986578,-87.56788652256009,Entire home/apt,139,2,16,2025-04-14,0.89,1,22,9,R24000118887
1048520286471709331,Med District pet friendly haven,106945675,Zachary,,Near West Side,41.87353302598356,-87.68859074392809,Entire home/apt,95,32,0,,,1,216,0,
1048589878442346499,"Cozy Warm Feels, near highway&public transit",316480624,Joseph,,Avondale,41.94217,-87.70032,Entire home/apt,90,32,1,2025-03-31,0.38,14,319,1,
1048702605585168554,Peace and tranquility,92825839,Mriganav,,Portage Park,41.9466184,-87.7633603,Private room,74,2,22,2025-05-26,1.65,1,64,18,R23000108637
1048920643679639674,Classic clean lines and fully stocked minibar,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,0,,,7,89,0,2850793
1048920643706290324,Modernist vibe rooted in nature,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,12,2025-04-13,0.67,7,88,8,2850793
1048920839779653989,Spacious and airy with separate living space,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,0,,,7,72,0,2850793
1048920850090259426,Urban escape with accessible features,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,2,2024-05-26,0.11,7,47,0,2850793
1048920991189474707,Art-inspired design and Malin+Goetz bath products,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,9,2025-03-31,0.50,7,69,7,2850793
1048921141239525666,"Stylish, pet-friendly and fully ADA-outfitted",546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,0,,,7,32,0,2850793
1048921142010978151,Dark wood furnishings and gleaming chrome accents,546314438,Sean,,Near West Side,41.88719,-87.65184,Private room,,1,0,,,7,81,0,2850793
1049311813236720870,WestTown Home Sleeps 18 w/Garage,551548989,Eduardo,,West Town,41.89296745492085,-87.66898956743357,Entire home/apt,637,2,49,2025-06-01,3.17,2,214,38,R24000114608
1049375002942105943,"Cozy, Elegant, Central Bucktown/Wicker Park Apt",249250492,Ariel,,Logan Square,41.92387,-87.68258,Entire home/apt,201,1,34,2025-06-15,3.37,1,339,34,R23000112033
1049524409713487853,Garfield Greystone - 10 Mins to Dining & Downtown,212892963,Leonard,,Washington Park,41.793853478670876,-87.61554024847291,Entire home/apt,150,32,4,2025-06-07,0.25,2,233,3,
1049551586010513484,"House 2 bedroom, 5 min. Midway, free St. parking",192652769,Blanca,,West Lawn,41.77628,-87.73277,Entire home/apt,80,32,3,2025-03-31,0.23,1,207,2,
1049634682399858806,Playful spirit and sustainable practices,544151463,Hotel Felix,,Near North Side,41.894565,-87.631542,Private room,185,1,480,2025-06-07,27.17,1,99,244,2862535
1049735510251351807,"Blueground | River N, theater room, nr beach & l",107434423,Blueground,,Near North Side,41.89678629999999,-87.6317246,Entire home/apt,257,32,1,2024-03-10,0.06,594,292,0,
